,Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros),Price (USD),sizeperWeight,priceperharddrive,priceperram,LogPrice (USD)
223,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1024,Nvidia GeForce MX130,Windows,10,0.37655860349127185,745.0,804.6,7.09090909090909,0.7857421875,100.575,6.691587341404353
224,Lenovo,IdeaPad 320-17ISK,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,4,1024,Intel HD Graphics 520,Windows,10,0.5261845386533666,489.0,528.12,6.178571428571429,0.5157421875,132.03,6.2712152492334825
225,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i7 7500U 2.7GHz,6,1152,Nvidia GeForce 940MX,Windows,10,0.5261845386533666,859.0,927.72,6.178571428571429,0.8053125,154.62,6.83380729402978
226,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows,10,0.45137157107231923,829.0,895.32,6.24,3.49734375,111.915,6.798297492071744
227,Lenovo,Ideapad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256,Intel HD Graphics 620,Windows,10,0.37655860349127185,579.0,625.32,7.09090909090909,2.44265625,104.22000000000001,6.439861422599659
228,Acer,Aspire A517-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce MX150,Windows,10,0.5760598503740648,951.0,1027.0800000000002,5.2,4.012031250000001,128.38500000000002,6.935448263998886
229,Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12,1024,Intel HD Graphics 620,Windows,10,0.3640897755610973,659.0,711.72,7.2558139534883725,0.6950390625,59.31,6.569088636412388
230,Lenovo,Thinkpad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 630,Windows,10,0.314214463840399,1097.0,1184.76,8.0,4.62796875,148.095,7.078139198203049
231,Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,Windows,10,0.2518703241895262,977.0,1055.16,9.176470588235293,4.12171875,131.895,6.962394967940461
232,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,1280,Nvidia GeForce GTX 1050 Ti,Windows,10,0.45137157107231923,1179.0,1273.3200000000002,6.24,0.9947812500000002,79.58250000000001,7.150167981986383
233,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050,Windows,10,0.5760598503740648,1187.0,1281.96,5.766666666666667,1.2519140625,160.245,7.156925187200553
234,HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,8,1024,Intel HD Graphics 520,Windows,10,0.46134663341645893,489.0,528.12,6.811023622047244,0.5157421875,66.015,6.2712152492334825
235,Dell,XPS 15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050,Windows,10,0.3266832917705736,1829.0,1975.32,7.8,7.71609375,246.915,7.588991808516247
236,Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows,10,0.33915211970074816,739.0,798.12,7.609756097560976,3.11765625,99.765,6.683511122223894
237,Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1060,Windows,10,0.6259351620947631,1299.0,1402.92,4.875,1.3700390625,175.365,7.247023602905351
238,Dell,Precision 7720,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16,256,Nvidia Quadro M1200,Windows,10,0.6807980049875313,2884.86,3115.6488000000004,5.058479532163743,12.170503125000002,194.72805000000002,8.04451360097787
239,Lenovo,IdeaPad 310-15ABR,Notebook,15.6,Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6,1024,AMD Radeon R5 430,Windows,10,0.4264339152119701,499.0,538.9200000000001,6.5,0.5262890625000001,89.82000000000001,6.291420980435151
240,Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,512,Nvidia GeForce 940MX,Windows,10,0.2344139650872818,1468.0,1585.44,9.570552147239264,3.0965625,99.09,7.369247791209445
241,Asus,VivoBook S14,Notebook,14.0,1366x768,Intel Core i3 7100U 2.4GHz,4,128,Intel HD Graphics 620,Windows,10,0.1521197007481297,509.0,549.72,10.769230769230768,4.2946875,137.43,6.311226513023175
242,Asus,Rog GL702VS-GC095T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,1280,Nvidia GeForce GTX 1070,Windows,10,0.5511221945137157,2122.0,2291.76,5.9655172413793105,1.7904375000000001,143.235,7.73751161100407
243,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6,1024,Nvidia GeForce GTX 940M,Windows,10,0.5261845386533666,649.0,700.9200000000001,6.178571428571429,0.6844921875000001,116.82000000000001,6.5538194374179035
244,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1152,Nvidia GeForce GTX 1050 Ti,Windows,10,0.45137157107231923,1265.0,1366.2,6.24,1.1859375,170.775,7.220520131801381
245,HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,16,256,Intel HD Graphics 620,Windows,10,0.1471321695760599,1975.0,2133.0,10.390625,8.33203125,133.3125,7.665753431861699
246,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256,Nvidia GeForce 930M,Windows,10,0.37655860349127185,1043.0,1126.44,7.09090909090909,4.40015625,140.805,7.027704854883256
247,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1152,Nvidia GeForce 940MX,Windows,10,0.401496259351621,819.0,884.5200000000001,6.782608695652175,0.7678125000000001,110.56500000000001,6.786175043077368
248,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1024,Intel HD Graphics 520,Windows,10,0.2917705735660848,469.0,506.52,8.387096774193548,0.4946484375,126.63,6.229536119006428
249,Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows,10,0.10224438902743144,999.0,1078.92,12.09090909090909,4.21453125,134.865,6.984642243300572
250,Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,1024,Intel UHD Graphics 620,Windows,10,0.1296758104738155,2499.0,2698.92,10.991735537190083,2.6356640625,168.6825,7.900977421923825
251,MSI,GE63VR 7RF,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,1280,Nvidia GeForce GTX 1070,Windows,10,0.5261845386533666,2099.0,2266.92,5.571428571428572,1.77103125,141.6825,7.726618390856916
252,Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8,256,AMD Radeon R5,Windows,10,0.38403990024937656,469.0,506.52,6.995515695067264,1.97859375,63.315,6.229536119006428
253,Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2,32,Intel HD Graphics 500,Windows,10,0.10224438902743144,275.0,297.0,10.545454545454545,9.28125,148.5,5.697093486505405
254,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1152,AMD Radeon 530,Windows,10,0.4089775561097257,844.0,911.52,6.695278969957081,0.79125,113.94,6.816210003024674
255,HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,1024,Intel UHD Graphics 620,Windows,10,0.14962593516209477,2449.0,2644.92,10.310077519379846,2.5829296875,165.3075,7.880774109901886
256,HP,ProBook 640,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows,10,0.314214463840399,980.0,1058.4,7.17948717948718,4.134375,132.3,6.965457989110426
257,Acer,TravelMate B,Notebook,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4,128,Intel HD Graphics 405,Windows,10,0.17705735660847882,485.0,523.8000000000001,8.285714285714286,4.0921875000000005,130.95000000000002,6.26301723762988
258,HP,Elitebook 840,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows,10,0.1970074812967581,1292.0,1395.36,9.45945945945946,5.450625,174.42,7.241624129733235
259,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,4,1024,Nvidia GeForce 920MX,Windows,10,0.5236907730673317,589.0,636.12,6.200716845878136,0.6212109375,159.03,6.456958020875831
260,Asus,ZenBook UX410UA-GV183T,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows,10,0.3266832917705736,1094.0,1181.52,7.0,4.6153125,147.69,7.075403033542298
261,HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,8,1024,Intel UHD Graphics 620,Windows,10,0.3516209476309227,902.0,974.16,7.428571428571428,0.951328125,121.77,6.882601560098597
262,Acer,Aspire 5,Notebook,15.6,1366x768,AMD A12-Series 9720P 2.7GHz,8,256,AMD Radeon RX 540,Windows,10,0.37655860349127185,659.0,711.72,7.09090909090909,2.78015625,88.965,6.569088636412388
263,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows,10,0.18703241895261846,292.0,315.36,9.722222222222223,9.855,78.84,5.756880805651217
264,Acer,Aspire E5-575,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,6,1024,Intel HD Graphics 620,Windows,10,0.38403990024937656,549.0,592.9200000000001,6.995515695067264,0.5790234375000001,98.82000000000001,6.386744630157781
265,Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows,10,0.2518703241895262,1049.9,1133.8920000000005,9.176470588235293,4.429265625000002,141.73650000000006,7.0342927712030345
266,HP,Elitebook 820,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows,10,0.14214463840399005,1335.0,1441.8000000000002,9.920634920634921,5.632031250000001,180.22500000000002,7.274340949029384
267,Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,32,1024,Nvidia GeForce GTX 1050,Windows,10,0.34164588528678314,2639.0,2850.1200000000003,7.572815533980582,2.7833203125000003,89.06625000000001,7.955467178521455
268,MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1280,Nvidia GeForce GTX 1050 Ti,Windows,10,0.5012468827930174,1199.0,1294.92,6.407407407407407,1.0116562500000001,161.865,7.166976146611883
269,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows,10,0.3266832917705736,943.0,1018.44,7.8,3.97828125,127.305,6.927008735904024
270,Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1280,Intel HD Graphics 620,Windows,10,0.3266832917705736,1334.0,1440.72,7.0,1.1255625,180.09,7.273592124233254
271,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1024,Intel HD Graphics 520,Windows,10,0.2892768079800499,449.0,484.92,8.432432432432432,0.4735546875,121.23,6.1860440012974385
272,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050,Windows,10,0.45137157107231923,999.0,1078.92,6.24,4.21453125,134.865,6.984642243300572
273,HP,EliteBook 840,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256,Intel HD Graphics 620,Windows,10,0.1970074812967581,1268.0,1369.44,9.45945945945946,5.349375,171.18,7.222887135142018
274,Dell,Inspiron 7570,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1152,Nvidia GeForce 940MX,Windows,10,0.30174563591022446,1049.0,1132.92,8.210526315789474,0.9834375000000001,141.615,7.033435935061946
275,HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows,10,0.28678304239401503,1144.0,1235.52,8.478260869565217,4.82625,154.44,7.120056261517277
276,Dell,Inspiron 7570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 940MX,Windows,10,0.3266832917705736,1142.75,1234.17,7.8,4.8209765625,154.27125,7.1189638914107976
277,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12,2048,AMD Radeon 530,Windows,10,0.37655860349127185,899.0,970.92,7.09090909090909,0.47408203125,80.91,6.879273496546487
278,HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1024,Nvidia GeForce 930MX ,Windows,10,0.3516209476309227,716.0,773.2800000000001,7.428571428571428,0.7551562500000001,96.66000000000001,6.6519335652773455
279,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows,10,0.17705735660847882,2099.0,2266.92,9.928571428571429,4.427578125,141.6825,7.726618390856916
280,Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows,10,0.12718204488778057,1579.0,1705.3200000000002,11.083333333333334,6.661406250000001,213.16500000000002,7.442094283732767
281,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,2304,Nvidia GeForce GTX 1050 Ti,Windows,10,0.4264339152119701,1129.0,1219.3200000000002,6.5,0.5292187500000001,76.20750000000001,7.106868398415928
282,HP,Stream 14-AX001nv,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2,32,Intel HD Graphics 400,Windows,10,0.18703241895261846,279.0,301.32,9.722222222222223,9.41625,150.66,5.711486059041233
283,Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,16,768,Intel UHD Graphics 620,Windows,10,0.2967581047381546,1607.96,1736.5968000000005,8.297872340425533,2.261193750000001,108.53730000000003,7.460258288117295
284,Asus,VivoBook Flip,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows,10,0.20199501246882795,375.0,405.0,7.733333333333333,12.65625,101.25,6.0063531596017325
285,Dell,Inspiron 5570,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1024,AMD Radeon 530,Windows,10,0.30174563591022446,663.0,716.0400000000001,8.210526315789474,0.6992578125000001,89.50500000000001,6.575131627049107
286,Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows,10,0.34164588528678314,2027.42,2189.6136,7.572815533980582,4.2765890625,136.85085,7.6919369662151205
287,HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows,10,0.28678304239401503,1304.0,1408.3200000000002,8.478260869565217,5.501250000000001,176.04000000000002,7.250862597539328
288,MSI,GP72MVR 7RFX,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1152,Nvidia GeForce GTX 1060,Windows,10,0.5012468827930174,1409.0,1521.72,6.407407407407407,1.3209375,190.215,7.328253488324033
289,HP,Zbook 15,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia Quadro M1200,Windows,10,0.47630922693266836,1738.27,1877.3316,6.0,7.3333265625,234.66645,7.538139215001437
290,Toshiba,Tecra A50-C-21G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16,512,Nvidia GeForce 930M,Windows,10,0.4264339152119701,1403.0,1515.24,6.5,2.959453125,94.7025,7.323988865018045
291,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,2176,AMD Radeon 530,Windows,10,0.33167082294264344,970.9,1048.572,7.7227722772277225,0.4818805147058823,131.0715,6.956137741004723
292,Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,1024,Nvidia GeForce GTX 1050,Windows,10,0.4887780548628429,999.0,1078.92,5.886792452830189,1.0536328125,134.865,6.984642243300572
293,Dell,Inspiron 3567,Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8,2048,Intel HD Graphics 620,Windows,10,0.4164588528678304,557.37,601.9596,6.610169491525424,0.2939255859375,75.24495,6.401850196141071
294,Dell,Latitude 7480,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256,Intel HD Graphics 620,Windows,10,0.16708229426433918,1427.0,1541.16,10.294117647058822,6.02015625,192.645,7.340939310089336
295,HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,Windows,10,0.2917705735660848,439.0,474.12,8.387096774193548,0.94824,118.53,6.163567403707605
296,Asus,Zenbook UX410UA-GV027T,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows,10,0.3266832917705736,945.0,1020.6,7.0,3.98671875,127.575,6.92912530471833
297,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6,1152,Nvidia GeForce GTX 940MX,Windows,10,0.5261845386533666,719.0,776.5200000000001,6.178571428571429,0.6740625000000001,129.42000000000002,6.656109367195215
298,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1024,Intel HD Graphics 620,Windows,10,0.2917705735660848,639.0,690.12,8.387096774193548,0.6739453125,86.265,6.538313470050629
299,HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,8,2048,Intel HD Graphics 405,Windows,10,0.3366583541147133,389.0,420.12,7.647058823529411,0.20513671875,52.515,6.042917828696898
300,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1152,AMD Radeon 530,Windows,10,0.5261845386533666,1085.0,1171.8000000000002,6.178571428571429,1.0171875000000001,146.47500000000002,7.067149331132387
301,Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R7 M445,Windows,10,0.4089775561097257,899.0,970.92,6.695278969957081,3.79265625,121.365,6.879273496546487
302,HP,Elitebook 1040,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows,10,0.16708229426433918,1750.0,1890.0,10.294117647058822,7.3828125,236.25,7.544861068658458
303,Asus,ZenBook Flip,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12,2560,Nvidia GeForce GT 940MX,Windows,10,0.3915211970074813,1099.0,1186.92,6.902654867256637,0.46364062500000003,98.91000000000001,7.0799591575878065
304,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,128,AMD Radeon R5,Windows,10,0.3516209476309227,426.0,460.08,7.428571428571428,3.594375,115.02,6.133571563732811
305,Asus,Rog Strix,Gaming,17.3,IPS Panel Full HD 1920x1080,AMD Ryzen 1700 3GHz,16,1280,AMD Radeon RX 580,Windows,10,0.6384039900249376,2199.0,2374.92,5.323076923076924,1.8554062500000001,148.4325,7.773140009882018
306,Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,AMD A8-Series 7410 2.2GHz,4,128,AMD Radeon R5,Windows,10,0.47630922693266836,489.0,528.12,6.653846153846154,4.1259375,132.03,6.2712152492334825
307,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows,10,0.23192019950124693,869.01,938.5308,8.209876543209877,3.6661359375,117.31635,6.84538060171158
308,HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4,256,AMD Radeon R5,Windows,10,0.30423940149625933,488.99,528.1092000000001,8.167539267015707,2.0629265625000004,132.02730000000003,6.271194837776305
309,Lenovo,Yoga 11e,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Quad Core N3450 1.1GHz,4,128,Intel HD Graphics 500,Windows,10,0.2244389027431422,553.0,597.24,7.295597484276729,4.6659375,149.31,6.393992011228804
310,Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.60GHz,4,500,Intel HD Graphics 400,Windows,10,0.27680798004987534,309.0,333.72,8.666666666666666,0.66744,83.43,5.813294361436504
311,Asus,VivoBook E403NA,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows,10,0.20199501246882795,286.0,308.88,9.333333333333334,9.6525,77.22,5.7361851257637015
312,HP,Omen 17-w212nv,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1152,Nvidia GeForce GTX 1050,Windows,10,0.6633416458852868,1191.0,1286.28,5.164179104477612,1.1165625,160.785,7.160286744150895
313,Asus,ROG Strix,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1152,Nvidia GeForce GTX 1060,Windows,10,0.401496259351621,1655.0,1787.4,6.782608695652175,1.5515625000000002,223.425,7.489076644359826
314,Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,Windows,10,0.20199501246882795,1099.0,1186.92,9.333333333333334,4.63640625,148.365,7.0799591575878065
315,Asus,Zenbook Flip,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows,10,0.10224438902743144,1748.9,1888.812,12.09090909090909,3.6890859375,118.05075,7.5442326322066595
316,Lenovo,Thinkpad X1,Ultrabook,14.0,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows,10,0.10972568578553615,2282.0,2464.56,12.389380530973453,4.81359375,308.07,7.810174241202586
317,Lenovo,Ideapad 510S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4,128,Intel HD Graphics 620,Windows,10,0.20199501246882795,549.0,592.9200000000001,8.866666666666667,4.632187500000001,148.23000000000002,6.386744630157781
318,Dell,Precision 3510,Workstation,15.6,Full HD 1920x1080,Intel Core i5 6440HQ 2.6GHz,8,500,AMD FirePro W5130M,Windows,10,0.38403990024937656,1369.0,1478.5200000000002,6.995515695067264,2.9570400000000006,184.81500000000003,7.2994729898293285
319,Dell,Precision 5520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,8,256,Nvidia Quadro M1200,Windows,10,0.3266832917705736,2135.0,2305.8,7.8,9.00703125,288.225,7.743616561741257
320,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows,10,0.18204488778054861,2509.0,2709.7200000000003,9.859154929577466,5.2924218750000005,169.35750000000002,7.9049695612431865
321,Asus,Rog GL753VD-GC042T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1024,Nvidia GeForce GTX 1050,Windows,10,0.5760598503740648,1039.0,1122.12,5.766666666666667,1.0958203125,140.265,7.023865805663696
322,Asus,Rog GL753VE-GC070T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,1280,Nvidia GeForce GTX 1050 Ti,Windows,10,0.5760598503740648,1591.0,1718.2800000000002,5.766666666666667,1.3424062500000002,107.39250000000001,7.44966087751695
323,Acer,Aspire 5,Notebook,15.6,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,12,1024,Nvidia GeForce MX130,Windows,10,0.37655860349127185,693.99,749.5092000000001,7.09090909090909,0.7319425781250001,62.45910000000001,6.620751909492719
324,MSI,Leopard GP72M,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050 Ti,Windows,10,0.5012468827930174,1349.0,1456.92,6.407407407407407,5.69109375,182.115,7.284766041378708
325,HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4,256,AMD Radeon 520,Windows,10,0.30423940149625933,499.0,538.9200000000001,8.167539267015707,2.1051562500000003,134.73000000000002,6.291420980435151
326,Lenovo,ThinkPad E580,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon RX 550,Windows,10,0.3516209476309227,1229.56,1327.9248,7.428571428571428,5.18720625,165.9906,7.192125473214649
327,Lenovo,ThinkPad L470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows,10,0.30174563591022446,938.0,1013.04,7.36842105263158,3.9571875,126.63,6.921697631104842
328,Dell,Precision M5520,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia Quadro M1200,Windows,10,0.27182044887780554,2712.0,2928.96,8.764044943820224,11.44125,366.12,7.982744050040792
