,Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros),Price (USD),sizeperWeight,priceperharddrive,priceperram,LogPrice (USD)
176,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows,10,0.26184538653366585,899.0,970.92,8.045977011494253,3.79265625,121.365,6.879273496546487
177,Toshiba,Portege Z30-C-16L,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256,Intel HD Graphics 520,Windows,10,0.12718204488778057,1363.0,1472.0400000000002,11.083333333333334,5.750156250000001,184.00500000000002,7.295083571558965
178,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1024,Intel UHD Graphics 620,Windows,10,0.3516209476309227,794.0,857.5200000000001,7.428571428571428,0.8374218750000001,107.19000000000001,6.755209976513464
179,Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,1280,Nvidia GeForce GTX 1060,Windows,10,0.9301745635910224,2456.34,2652.8472,3.9140271493212673,2.072536875,165.80295,7.883765639760735
180,Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows,10,0.37655860349127185,832.0,898.5600000000001,7.09090909090909,3.5100000000000002,112.32000000000001,6.801905754890285
181,Dell,Inspiron 5567,Notebook,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16,1024,AMD Radeon R7 M445,Windows,10,0.401496259351621,859.01,927.7308,6.782608695652175,0.905987109375,57.983175,6.833818922870771
182,Asus,Vivobook X541UV-DM1217T,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 920MX ,Windows,10,0.3266832917705736,769.0,830.5200000000001,7.8,3.2442187500000004,103.81500000000001,6.723255351260132
183,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,756,Nvidia GeForce GTX 950M,Windows,10,0.4987531172069825,891.0,962.28,6.431226765799257,1.272857142857143,120.285,6.870344127583963
184,HP,ZBook 15u,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1024,AMD FirePro W4190M ,Windows,10,0.30174563591022446,1269.0,1370.52,8.210526315789474,1.3383984375,171.315,7.223674892845158
185,Asus,Pro P2540UA-XO0198T,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1024,Intel HD Graphics 620,Windows,10,0.4189526184538654,398.99,430.90920000000006,6.582278481012658,0.42080976562500005,107.72730000000001,6.068215380966923
186,HP,15-rb013nv (E2-9000e/4GB/500GB/W10),Notebook,15.6,1366x768,AMD E-Series 9000e 1.5GHz,4,500,AMD Radeon R2,Windows,10,0.3516209476309227,330.0,356.40000000000003,7.428571428571428,0.7128000000000001,89.10000000000001,5.878855602725328
187,Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,1280,Nvidia GeForce GTX 1060,Windows,10,0.6259351620947631,1499.0,1618.92,4.875,1.26478125,101.1825,7.390132044291014
188,Dell,Vostro 5468,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows,10,0.22693266832917708,859.0,927.72,8.75,3.62390625,115.965,6.83380729402978
189,Acer,Aspire R7,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,8,256,Intel HD Graphics 520,Windows,10,0.22693266832917708,689.0,744.12,8.3125,2.90671875,93.015,6.613545279234067
190,Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4,1152,AMD Radeon R5 M430,Windows,10,0.37655860349127185,575.0,621.0,7.09090909090909,0.5390625,155.25,6.432940092739179
191,Asus,ROG G703VI-E5062T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,32,1536,Nvidia GeForce GTX 1080,Windows,10,1.0,3890.0,4201.200000000001,3.6808510638297873,2.7351562500000006,131.28750000000002,8.343363476654948
192,Acer,Nitro AN515-51,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows,10,0.45137157107231923,846.0,913.68,6.24,3.5690625,114.21,6.818574277330894
193,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8,128,Intel HD Graphics 520,Windows,10,0.37655860349127185,589.0,636.12,7.09090909090909,4.9696875,79.515,6.456958020875831
194,Asus,VivoBook Pro,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1152,Nvidia GeForce 150MX,Windows,10,0.3516209476309227,1145.0,1236.6,8.238095238095237,1.0734374999999998,154.575,7.120929299258856
195,Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows,10,0.4663341645885288,879.0,949.32,6.09375,3.70828125,118.665,6.8567987699812845
196,Lenovo,Yoga 910-13IKB,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows,10,0.17206982543640897,1079.0,1165.3200000000002,10.072463768115943,4.552031250000001,145.66500000000002,7.061608771796567
197,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,2176,AMD Radeon 530,Windows,10,0.37655860349127185,985.0,1063.8000000000002,7.09090909090909,0.4888786764705883,132.97500000000002,6.970542267080902
198,HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8,1024,Intel HD Graphics 620,Windows,10,0.3366583541147133,559.0,603.72,7.647058823529411,0.5895703125,75.465,6.404765540983921
199,Asus,Rog G701VIK-BA060T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16,256,Nvidia GeForce GTX 1080,Windows,10,0.7256857855361596,2999.0,3238.92,4.805555555555555,12.65203125,202.4325,8.083303917123514
200,HP,ProBook 430,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500,Intel UHD Graphics 620,Windows,10,0.19950124688279303,675.0,729.0,8.926174496644295,1.458,182.25,6.593044534142437
201,Dell,Inspiron 5579,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,1024,Intel UHD Graphics 620,Windows,10,0.34663341645885287,819.0,884.5200000000001,7.5,0.8637890625000001,110.56500000000001,6.786175043077368
202,Asus,ROG G752VSK-GC493T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,1280,Nvidia GeForce GTX 980M,Windows,10,0.9002493765586035,1799.0,1942.92,4.023255813953488,1.51790625,121.4325,7.572461831910232
